trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
296,False,"{'a': 0.5, 'e': 0.05233970594843238}",30,16,21.85063821216784,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.05181891717272583}",25,6,-10.913373788347505,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
298,False,"{'a': 0.5, 'e': 0.05130331033191911}",20,5,22.30056235273751,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.0507928338648985}",20,0,14.833948755899137,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
300,False,"{'a': 0.5, 'e': 0.050287436723591865}",35,9,51.64344463963212,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,10,27.319659962183167,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.04929167876046215}",30,16,24.302564615289818,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.04880121836201296}",25,5,32.616466010104546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.04831563812606777}",25,8,25.888061927695897,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.04783488949419837}",25,17,16.814723171784973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.04735892439114091}",20,10,18.6158284883087,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.046887695219988486}",30,12,34.079109739803194,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.04642115485743125}",20,0,11.137888412484251,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.045959256649044204}",30,3,36.616213873152844,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.04550195440462157}",25,14,23.532510380312022,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.0450492023935578}",30,12,32.37693561823346,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.044600955340274535}",20,16,5.123635099181149,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.04415716841969286}",25,13,15.843816691719349,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.04371779725275094}",20,7,-45.930279464304284,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
315,False,"{'a': 0.5, 'e': 0.043282797901965896}",20,9,18.05250143385738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.04285212686704019}",20,0,-8.145054275537298,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
317,False,"{'a': 0.5, 'e': 0.042425741080511385}",25,12,7.000535662100019,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.04200359790344555}",25,11,23.386262493275858,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.04158565512117316}",25,14,21.187604414493073,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.04117187093906774}",20,1,27.30452232691749,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.04076220397836621}",35,3,41.11477774185362,"{0: 31, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.04035661327203115}",20,6,20.21223657929293,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.039955058260653896}",20,9,19.280746874522315,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.039557498788398725}",25,9,15.64405681730508,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.039163895098987066}",20,10,17.524290010713244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.03877420783172201}",20,0,-2.2112725265683917,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
327,False,"{'a': 0.5, 'e': 0.038388398017552054}",20,10,3.0712889016336153,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.038006427075174314}",20,6,22.16043964788126,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.0376282568071762}",20,10,19.81323773369545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.03725384939621581}",25,14,22.02657678105609,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.036883167401239994}",20,3,-9.041064716552134,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
332,False,"{'a': 0.5, 'e': 0.0365161737537404}",30,3,15.332016808737489,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.03615283175404641}",30,20,17.790135837602342,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.0357931050676553}",20,12,15.021072110847825,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.03543695772159864}",20,2,30.747942599523405,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.035084354100845025}",20,9,19.34222874292302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.03473525894473856}",25,3,35.12660574725418,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.03438963734347271}",35,21,28.52689148646252,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.034047454734599344}",30,8,43.136602007299615,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.033708676899572396}",20,12,14.54524814897868,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.03337326996032608}",25,0,37.51170622897441,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
342,False,"{'a': 0.5, 'e': 0.03304120037588693}",20,0,26.165703557199667,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
343,False,"{'a': 0.5, 'e': 0.03271243493901982}",20,0,24.285589444622254,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
344,False,"{'a': 0.5, 'e': 0.03238694077290704}",30,18,23.852314276896678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.03206468532786077}",25,17,17.017573177209087,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.03174563637806794}",20,14,10.780963296270253,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.03142976201836771}",20,2,28.91858697819241,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.03111703066106086}",20,14,9.735257963755046,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.030807411032751076}",20,0,35.09309973016056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
350,False,"{'a': 0.5, 'e': 0.030500872171217483}",20,6,14.7438832432507,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.0301973834223185}",25,0,40.22926439869631,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'a': 0.5, 'e': 0.029896914436926308}",20,0,18.833507228098185,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
353,False,"{'a': 0.5, 'e': 0.029599435167892}",25,7,27.818944293623204,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.029304915867040746}",20,11,17.532346323722507,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.029013327082197053}",20,16,7.547329207608562,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.028724639654239423}",25,6,38.56267865105823,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.028438824714184505}",30,10,31.946672890178395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.028155853680300096}",25,11,22.478823517486873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.027875698255247015}",20,6,25.057757595387052,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.5, 'e': 0.027598330423249287}",30,18,19.476008796374714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.02732372244729256}",20,6,25.89306370221815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
